Trial_id,Probe,Target,word2vec,pcelex,tcelex,plog10,tlog10,trial_pres_id,probe_onset,probe_durat,fixa1_onset,fixa1_durat,target_onset,target_durat,target_offset,fixa2_onset,fixa2_durat,RT,KeyPress,runid
45,university,pig,0.107759883,196.98,17.88,2.3,1.28,1,5.997116804,1.5,7.49087286,1.5,8.98456192,1.5,9.829436779,11.98036385,3,0.844874859,2,1
93,worm,pear,0.21250903,7.37,2.46,0.92,0.54,2,15.00113893,1.5,16.49486184,1.5,17.98836899,1.5,18.5822258,20.98439193,3,0.593856812,2,1
97,muscle,bandage ,0.217167728,31.62,4.25,1.51,0.72,3,23.99674487,1.5,25.49066901,1.5,26.98418498,1.5,28.1669929,29.98020792,3,1.182807922,1,1
153,vet,animal,0.397178875,4.8,113.97,0.76,2.06,4,33.00103879,1.5,34.4947598,1.5,35.98828888,1.5,36.49274588,38.984092,3,0.504456997,1,1
69,newt,lightning,0.151529322,0.61,14.13,0.21,1.18,5,41.99675798,1.5,43.49047089,1.5,44.98424387,1.5,46.20453382,47.97976685,3,1.220289946,2,1
137,speech ,text,0.332597721,75.75,28.32,1.89,1.47,6,51.00080895,1.5,52.49455285,1.5,53.98813796,1.5,54.80232191,56.98393297,3,0.81418395,1,1
21,taxi,blossom,0.053688961,29.61,3.69,1.49,0.67,7,59.99664187,1.5,61.49035692,1.5,62.98404789,1.5,63.94009089,65.979846,3,0.956043005,2,1
161,landlord,house,0.421984161,12.91,558.72,1.14,2.75,8,69.0006988,1.5,70.49444079,1.5,71.9879899,1.5,72.43888497,74.98377299,3,0.450895071,1,1
57,radio,vinyl,0.130599304,83.97,1.01,1.93,0.3,9,77.99648094,1.5,79.49019694,1.5,80.98372078,1.5,82.48970699,83.9797368,3,1.505986214,1,1
61,deer,thumb,0.143758962,11.68,22.85,1.1,1.38,10,87.00054693,1.5,88.49406886,1.5,89.9880209,1.5,90.68440294,92.98382998,3,0.696382046,2,1
37,farmyard,sergeant,0.092836592,2.29,20.39,0.52,1.33,11,95.99626398,1.5,97.48979497,1.5,98.98350501,1.5,99.59821701,101.9793658,3,0.614712,2,1
157,surgeon,scalpel,0.406425776,8.16,1.01,0.96,0.3,12,105.0004828,1.5,106.4939308,1.5,107.9878628,1.5,108.993984,110.9836249,3,1.006121159,1,1
165,ashtray,cigarette,0.435645106,5.31,49.27,0.8,1.7,13,113.99615,1.5,115.4898839,1.5,116.9835539,1.5,117.715776,119.9793968,3,0.73222208,1,1
53,shed,spade,0.121530621,23.18,2.85,1.38,0.59,14,123.0002599,1.5,124.4939668,1.5,125.9874899,1.5,126.8905368,128.9835069,3,0.903046846,1,1
101,confetti,helium,0.236455539,1.17,5.14,0.34,0.79,15,131.9960158,1.5,133.489722,1.5,134.983403,1.5,136.014313,137.979002,3,1.030910015,2,1
133,lorry,highway,0.324990738,7.99,15.92,0.95,1.23,16,141.0000808,1.5,142.4937968,1.5,143.987345,1.5,144.8501358,146.9831269,3,0.862790823,1,1
13,blazer,foal,0.025396759,3.74,1.06,0.68,0.31,17,149.9958389,1.5,151.489342,1.5,152.9832799,1.5,153.7518768,155.9790819,3,0.768596888,2,1
113,suitcase,bikini,0.273248309,12.29,1.96,1.12,0.47,18,158.9999368,1.5,160.4933538,1.5,161.9873059,1.5,162.872648,164.9831109,3,0.885342121,1,1
65,shop,basket,0.148570055,85.08,17.88,1.93,1.28,19,167.9956698,1.5,169.4893968,1.5,170.982908,1.5,172.010432,173.978709,3,1.027523994,1,1
149,hotel,guest,0.37624594,125.2,24.36,2.1,1.4,20,176.9997718,1.5,178.4934878,1.5,179.9871559,1.5,180.833195,182.9829688,3,0.846039057,1,1
49,circus,beard,0.115963672,14.36,22.18,1.19,1.37,21,185.9955139,1.5,187.4892309,1.5,188.9827428,1.5,190.3399649,191.9787469,3,1.35722208,1,1
169,tractor,hay,0.46360748,6.87,14.86,0.9,1.2,22,194.999583,1.5,196.493315,1.5,197.9868588,1.5,198.8547659,200.982841,3,0.867907047,1,1
177,menu,meal,0.492739868,7.26,53.07,0.92,1.73,23,203.9952929,1.5,205.4890008,1.5,206.982564,1.5,207.661546,209.9783969,3,0.678982019,1,1
77,forge,blacksmith,0.158932514,5.53,1.68,0.81,0.43,24,212.9994309,1.5,214.4931388,1.5,215.98666,1.5,216.9633119,218.982688,3,0.976651907,2,1
185,waitress,restaurant,0.541748242,7.71,32.07,0.94,1.52,25,221.9951718,1.5,223.488899,1.5,224.9824278,1.5,225.7850909,227.9784188,3,0.802663088,1,1
173,church,vicar,0.480825407,158.88,22.63,2.2,1.37,26,230.9992149,1.5,232.4929168,1.5,233.9865179,1.5,234.6688688,236.9823189,3,0.682350874,1,1
105,veil,bride,0.256519761,7.49,10.45,0.93,1.06,27,239.9950218,1.5,241.488724,1.5,242.9822688,1.5,243.7756429,245.978045,3,0.793374062,1,1
129,toilet,sponge,0.310035089,23.18,8.1,1.38,0.96,28,248.999095,1.5,250.4928219,1.5,251.986351,1.5,253.3574128,254.982343,3,1.371061802,2,1
17,town,chief,0.04518215,185.92,101.4,2.27,2.01,29,257.994839,1.5,259.4885559,1.5,260.9820659,1.5,262.4291849,263.9780869,3,1.447118998,2,1
41,nature,child,0.100190358,187.32,427.09,2.27,2.63,30,266.9989288,1.5,268.4926529,1.5,269.9863739,1.5,271.1929679,272.9821758,3,1.20659399,2,1
73,juice,sand,0.155511373,20.39,54.25,1.33,1.74,31,275.9944479,1.5,277.4883988,1.5,278.9821429,1.5,280.018754,281.977927,3,1.03661108,2,1
141,cocktail,bar,0.33970425,8.21,67.88,0.96,1.84,32,284.9987669,1.5,286.4924829,1.5,287.9859848,1.5,288.720536,290.9820099,3,0.734551191,1,1
89,childhood,marbles,0.192261397,42.18,3.13,1.64,0.62,33,293.9945099,1.5,295.4882338,1.5,296.9817729,1.5,298.2752879,299.9777579,3,1.293514967,2,1
109,card,dice,0.265220736,46.09,2.18,1.67,0.5,34,302.9985979,1.5,304.492306,1.5,305.9858439,1.5,307.4790628,308.981643,3,1.493218899,2,1
81,tank,oxygen,0.170241257,20.34,22.79,1.33,1.38,35,311.9943359,1.5,313.4880469,1.5,314.9815569,1.5,315.6898639,317.9775789,3,0.708307028,1,1
85,wolf,sledge,0.18394625,6.7,1.06,0.89,0.31,36,320.9984269,1.5,322.4921379,1.5,323.9856558,1.5,326.3205979,326.9816198,3,2.334942102,2,1
121,lager,lime,0.288207104,1.68,8.49,0.43,0.98,37,329.9941678,1.5,331.4878678,1.5,332.9813969,1.5,334.7353868,335.977407,3,1.753989935,2,1
9,data,latin,0.007278264,46.93,0,1.68,0,38,338.9982049,1.5,340.4919169,1.5,341.985404,1.5,343.317178,344.9814408,3,1.331773996,2,1
145,compost,daffodils,0.354882228,3.24,1.73,0.63,0.44,39,347.9939489,1.5,349.487469,1.5,350.9814329,1.5,352.809942,353.9772358,3,1.828509092,1,1
33,wing,walnut,0.081975187,32.63,3.91,1.53,0.69,40,356.9980199,1.5,358.4915018,1.5,359.9855189,1.5,360.841743,362.981113,3,0.85622406,2,1
117,mirror,lipstick,0.279622748,41.06,6.82,1.62,0.89,41,365.9937088,1.5,367.4874918,1.5,368.9810359,1.5,369.8935268,371.976872,3,0.912490845,1,1
1,platform,toothpaste,-0.051348295,24.86,1.84,1.41,0.45,42,374.997679,1.5,376.4916308,1.5,377.9851358,1.5,379.0132999,380.9809408,3,1.028164148,2,1
181,garage,car,0.514912901,22.79,276.2,1.38,2.44,43,383.993639,1.5,385.4873638,1.5,386.9808998,1.5,388.015075,389.9768999,3,1.034175158,1,1
